Daily Calorie Target,Protein,Calories,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Disease,Price_RM,Breakfast_Price_RM,Lunch_Price_RM,Dinner_Price_RM,Snack_Price_RM
2000,120,2020,60,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,14.61,3.6525,3.6525,3.6525,3.6525
1600,80,1480,40,Tofu scramble with veggies,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease",8.2,2.05,2.05,2.05,2.05
2200,100,2185,65,Tofu and veggie breakfast burrito,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix,Weight Gain,12.26,3.065,3.065,3.065,3.065
2500,140,2680,80,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Turkey chili with brown rice,Banana with peanut butter,Weight Gain,13.67,3.4175,3.4175,3.4175,3.4175
2000,80,1815,55,Scrambled eggs with whole wheat toast and avocado,Quinoa salad with chickpeas and vegetables,1 chili with cornbread,Fruit and nut mix,Weight Gain,7.31,1.8275,1.8275,1.8275,1.8275
1800,70,1565,45,Tofu scramble with veggies,Lentil pasta with vegetables,3 stir-fry with brown rice,Hummus and veggie wrap,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",13.11,3.2775,3.2775,3.2775,3.2775
3000,180,2840,80,Protein pancakes with fruit and nuts,Chicken breast with brown rice and vegetables,Steak with sweet potato and broccoli,Protein shake,Weight Gain,9.33,2.3325,2.3325,2.3325,2.3325
2400,120,2220,60,Tofu and veggie breakfast burrito,Black bean burger on a whole wheat bun,Quinoa and vegetable bowl,Cottage cheese with fruit,Weight Gain,5.03,1.2575,1.2575,1.2575,1.2575
3200,160,3005,85,Tofu and chickpea scramble,Lentil burger with sweet potato fries,3 chili with cornbread,Energy bar,Weight Gain,9.04,2.26,2.26,2.26,2.26
1900,75,1670,50,Overnight oats with fruit and chia seeds,Lentil soup with whole wheat bread,3 pasta with vegetables and sauce,Fruit and veggie sticks,"Weight Gain, Kidney Disease",3.68,0.92,0.92,0.92,0.92
2000,120,2020,60,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,5.31,1.3275,1.3275,1.3275,1.3275
2200,100,2230,70,Tofu scramble with vegetables,Lentil soup with wholegrain bread,Chickpea and vegetable curry,Trail mix with nuts and seeds,Weight Gain,10.96,2.74,2.74,2.74,2.74
2400,100,2520,80,Wholegrain toast with avocado,Black bean salad,Vegetable stir-fry with tofu,Fruit salad with yogurt,Weight Gain,14.74,3.685,3.685,3.685,3.685
1800,100,1650,50,Greek yogurt with granola,Tuna salad sandwich on wholegrain bread,Chicken breast with steamed vegetables,Popcorn,Weight Gain,3.93,0.9825,0.9825,0.9825,0.9825
3000,150,3100,100,Tofu and vegetable stir-fry,Lentil and vegetable stew,3 chili,Smoothie with protein powder,Weight Gain,10.42,2.605,2.605,2.605,2.605
2000,100,1940,60,Tofu scramble with vegetables,Black bean burger on a wholegrain bun,Lentil pasta with vegetables,Trail mix with nuts and seeds,Weight Gain,3.33,0.8325,0.8325,0.8325,0.8325
2500,150,2520,80,Oatmeal with protein powder and fruit,Grilled chicken breast with brown rice,Salmon with roasted vegetables,Fruit and nuts,Weight Gain,9.61,2.4025,2.4025,2.4025,2.4025
2200,100,2230,70,Wholegrain toast with avocado,Lentil soup with wholegrain bread,Vegetable stir-fry with tofu,Fruit salad with yogurt,Weight Gain,9.67,2.4175,2.4175,2.4175,2.4175
2800,160,2850,90,Eggs with wholegrain toast,Chicken breast with brown rice,Steak with roasted vegetables,Protein bar,Weight Gain,5.04,1.26,1.26,1.26,1.26
1600,80,1400,40,Tofu scramble with vegetables,Lentil soup with wholegrain bread,3 chili,Fruit and nut mix,"Weight Gain, Hypertension, Heart Disease",13.81,3.4525,3.4525,3.4525,3.4525
